time	soil_moisture	temperature	air_humidity
1583398196072	996.0	24.0	34.0
1583398916849	997.0	24.0	34.0
1583399637642	996.0	24.0	36.0
1583400358429	997.0	24.0	34.0
1583401079216	997.0	23.0	34.0
1583401800002	997.0	23.0	34.0
1583402520792	997.0	23.0	39.0
1583403241571	997.0	23.0	39.0
1583403962361	997.0	23.0	37.0
1583404683148	996.0	23.0	34.0
1583405403936	1001.0	24.0	34.0
1583406124730	997.0	23.0	34.0
1583406845532	997.0	23.0	34.0
1583407566308	996.0	23.0	34.0
1583408287053	1001.0	23.0	36.0
1583409007806	1002.0	23.0	34.0
1583409728552	1001.0	24.0	35.0
1583410449299	1000.0	23.0	34.0
1583411170059	1001.0	23.0	34.0
1583411890818	1001.0	23.0	35.0
1583412611580	1001.0	27.0	32.0
1583413332329	1001.0	23.0	34.0
1583414053087	1001.0	23.0	34.0
1583414773870	1002.0	23.0	34.0
1583415494648	1001.0	19.0	40.0
1583416215428	1001.0	17.0	36.0
1583416936211	1002.0	20.0	36.0
1583417657007	1000.0	22.0	38.0
1583418377804	996.0	22.0	35.0
1583419098585	996.0	22.0	35.0
1583419819372	994.0	23.0	39.0
1583420540163	996.0	23.0	42.0
1583421260949	996.0	23.0	34.0
1583421981722	999.0	23.0	35.0
1583422702509	999.0	24.0	34.0
1583423423289	999.0	24.0	34.0
1583424144073	994.0	23.0	34.0
1583424864854	998.0	24.0	34.0
1583425585638	996.0	24.0	34.0
1583426306428	1000.0	24.0	34.0
1583427027208	998.0	24.0	34.0
1583427747990	1000.0	24.0	34.0
1583428468766	1000.0	24.0	36.0
1583429189537	999.0	24.0	34.0
1583429910308	999.0	24.0	34.0
1583430631092	999.0	24.0	34.0
1583431351878	1000.0	24.0	35.0
1583432072649	999.0	24.0	35.0
1583432793429	998.0	24.0	35.0
1583433514201	999.0	24.0	35.0
1583434234983	996.0	24.0	35.0
1583434955775	999.0	24.0	35.0
1583435676559	1000.0	24.0	35.0
1583436397337	999.0	23.0	35.0
1583437118119	1000.0	23.0	34.0
1583437838911	999.0	23.0	34.0
1583438559706	999.0	23.0	34.0
1583439280495	1000.0	23.0	34.0
1583440001282	1000.0	24.0	34.0
1583440722060	1000.0	23.0	34.0
1583441442858	999.0	23.0	34.0
1583442163643	999.0	23.0	34.0
1583442884440	1000.0	23.0	34.0
1583443605226	999.0	23.0	34.0
1583444326013	999.0	23.0	34.0
1583445046804	999.0	23.0	34.0
1583445767600	1000.0	23.0	34.0
1583446488390	999.0	23.0	34.0
1583447209172	1000.0	23.0	34.0
1583447929965	999.0	23.0	34.0
1583448650746	999.0	23.0	34.0
1583449371524	1000.0	23.0	34.0
1583450092307	999.0	23.0	34.0
1583450813084	999.0	23.0	34.0
1583451533860	1000.0	23.0	35.0
1583452254634	998.0	23.0	34.0
1583452975407	999.0	23.0	34.0
1583453696201	999.0	23.0	34.0
1583454416992	998.0	23.0	34.0
1583455137773	996.0	23.0	34.0
1583455858557	999.0	23.0	34.0
1583456579352	999.0	23.0	34.0
1583457300129	999.0	23.0	34.0
1583458020914	999.0	23.0	34.0
1583458741704	999.0	23.0	34.0
1583459462480	999.0	23.0	34.0
1583460183260	1000.0	23.0	34.0
1583460904045	999.0	23.0	35.0
1583461624833	998.0	23.0	34.0
1583462345624	998.0	26.0	37.0
1583463066400	999.0	23.0	34.0
1583463787187	999.0	23.0	34.0
1583464507965	999.0	23.0	34.0
1583465228748	999.0	23.0	34.0
1583465949537	998.0	23.0	34.0
1583466670327	996.0	23.0	34.0
1583467391110	999.0	23.0	34.0
1583468111905	993.0	23.0	34.0
1583468832686	994.0	23.0	34.0
1583469553472	994.0	23.0	34.0
1583470274260	994.0	23.0	34.0
1583470995050	994.0	23.0	34.0
1583471715850	993.0	23.0	34.0
1583472436625	994.0	24.0	40.0
1583473157415	993.0	24.0	34.0
1583473878199	994.0	24.0	34.0
1583474598999	993.0	24.0	36.0
1583475319788	993.0	24.0	34.0
1583476040580	994.0	24.0	34.0
1583476761359	993.0	24.0	34.0
1583477482147	994.0	24.0	34.0
1583478202928	996.0	24.0	34.0
1583478923710	994.0	24.0	38.0
1583479644487	994.0	24.0	34.0
1583480365264	994.0	24.0	34.0
1583481086059	994.0	24.0	34.0
1583481806838	994.0	24.0	34.0
1583482527619	994.0	24.0	34.0
1583483248401	996.0	24.0	34.0
1583483969188	996.0	24.0	34.0
1583484689973	994.0	24.0	34.0
1583485410755	996.0	25.0	34.0
1583486131530	999.0	23.0	41.0
1583486852323	1003.0	24.0	34.0
1583487573112	1004.0	24.0	34.0
1583488293904	1003.0	24.0	34.0
1583489014677	1004.0	24.0	34.0
1583489735425	1000.0	24.0	34.0
1583490456184	998.0	24.0	34.0
1583491176967	999.0	24.0	34.0
1583491897740	1000.0	23.0	41.0
1583492618533	999.0	27.0	37.0
1583493339321	999.0	24.0	34.0
1583494060102	999.0	29.0	39.0
