time,soil_moisture,temperature,air_humidity
1587234777,958,24.7,84.0
1587236915,941,23.7,88.0
1587237932,936,23.6,88.0
1587238926,931,23.5,78.0
1587239904,931,23.6,86.0
1587240874,927,24.0,87.0
1587241853,928,24.1,88.0
1587242847,925,24.1,89.0
1587243820,924,24.2,90.0
1587244789,921,24.2,89.0
1587245759,918,24.2,89.0
1587246723,916,24.2,89.0
1587247676,915,24.3,91.0
1587248642,916,24.3,91.0
1587249617,913,24.3,92.0
1587250604,914,24.2,92.0
1587251578,913,24.2,92.0
1587252587,913,24.2,92.0
1587253617,913,24.1,92.0
1587254564,912,24.1,90.0
1587255542,909,24.0,87.0
1587256656,908,24.0,91.0
1587257602,909,24.0,92.0
1587258546,907,24.0,92.0
1587259492,907,24.0,92.0
1587260437,907,24.0,92.0
1587261382,907,24.0,92.0
1587262335,905,24.0,90.0
1587263304,903,23.9,91.0
1587264271,902,23.9,92.0
1587265232,903,24.0,91.0
1587266197,901,23.9,90.0
1587267165,900,23.9,91.0
1587268132,898,23.9,91.0
1587269093,898,23.9,90.0
1587270053,896,23.9,90.0
1587271013,896,23.9,91.0
1587271983,896,23.9,91.0
1587272946,895,23.9,91.0
1587273906,894,23.9,89.0
1587274869,893,23.9,90.0
1587275829,893,23.9,89.0
1587276795,891,23.9,89.0
1587277757,890,24.0,89.0
1587278723,889,23.9,89.0
1587279691,888,23.9,88.0
1587280658,886,23.9,90.0
1587281639,885,24.0,89.0
1587282601,884,24.1,93.0
1587283565,883,24.1,93.0
1587284538,881,24.2,94.0
1587285511,880,24.2,95.0
1587286478,879,24.3,94.0
1587287457,878,24.3,95.0
1587288427,874,24.3,95.0
1587289409,873,24.3,95.0
1587290381,873,24.3,95.0
1587291349,871,24.4,88.0
1587292323,870,24.3,83.0
1587293293,869,24.3,82.0
1587294282,869,24.3,80.0
1587295296,868,24.3,82.0
1587296305,868,24.3,82.0
1587297316,867,24.3,84.0
1587298335,865,24.3,89.0
1587299394,860,24.4,86.0
1587300417,859,24.4,93.0
1587301407,857,24.5,92.0
1587302385,856,24.4,89.0
1587303360,855,24.4,90.0
1587304333,854,24.5,92.0
1587305323,852,24.5,94.0
1587306339,850,24.5,89.0
1587307445,849,24.5,94.0
1587308421,847,24.5,86.0
1587309411,846,24.5,93.0
1587310422,845,24.6,91.0
1587311405,842,24.6,89.0
1587312404,841,24.5,90.0
1587313395,841,24.5,83.0
1587314388,835,24.6,93.0
1587315386,836,24.6,89.0
1587316403,835,24.6,93.0
1587317455,833,24.6,95.0
1587318522,832,24.6,87.0
1587319568,831,24.5,84.0
1587320558,828,24.5,88.0
1587321551,823,24.6,94.0
1587322577,825,24.4,95.0
1587323565,823,24.3,95.0
1587324535,822,24.3,94.0
1587325513,822,24.4,82.0
1587326483,821,24.1,93.0
1587327491,821,24.2,95.0
1587328464,820,24.3,95.0
1587329436,819,24.4,92.0
1587330407,818,24.5,95.0
1587331393,816,24.5,94.0
1587332387,816,24.4,95.0
1587333366,814,24.5,95.0
1587334345,813,24.5,95.0
1587335303,813,24.5,95.0
1587336258,812,24.4,95.0
1587337204,811,24.4,95.0
1587338169,811,24.3,95.0
1587339159,809,24.3,94.0
1587340149,808,24.3,95.0
1587341133,806,24.3,95.0
1587342100,806,24.3,95.0
1587343063,807,24.3,95.0
1587344026,805,24.3,95.0
1587344989,804,24.2,95.0
1587345954,802,24.2,94.0
1587346920,801,24.2,94.0
1587347880,801,24.3,94.0
1587348840,801,24.2,94.0
1587349803,800,24.2,93.0
1587350765,800,24.2,93.0
1587351725,798,24.2,93.0
1587352687,798,24.2,94.0
1587353651,798,24.2,93.0
1587354612,797,24.2,90.0
1587355582,797,24.2,93.0
1587356548,796,24.2,92.0
1587357516,794,24.2,91.0
1587358478,796,24.2,92.0
1587359439,795,24.2,91.0
1587360398,795,24.2,92.0
1587361359,795,24.1,93.0
1587362324,794,24.2,91.0
1587363287,793,24.2,92.0
1587364249,792,24.2,90.0
1587365219,792,24.2,86.0
1587366242,792,24.3,91.0
1587367298,793,24.3,91.0
1587368307,788,24.3,92.0
1587369372,787,24.4,94.0
1587370368,787,24.5,94.0
1587371425,786,24.5,94.0
1587372637,785,24.6,95.0
1587373660,785,24.5,83.0
1587375285,784,24.5,90.0
1587376303,784,24.5,93.0
1587377305,476,24.6,91.0
1587378293,466,24.6,91.0
1587379349,464,24.6,85.0
1587380437,461,24.5,84.0
1587381417,459,24.6,84.0
1587382389,456,24.6,77.0
1587383357,454,24.6,77.0
1587384321,450,24.6,79.0
1587385285,449,24.6,82.0
1587386282,448,24.7,83.0
1587387293,447,24.7,78.0
1587388261,446,24.7,73.0
1587389244,444,24.7,71.0
1587390217,442,24.7,66.0
1587391234,441,24.7,68.0
1587392233,440,24.7,69.0
1587393231,440,24.8,71.0
1587394262,439,24.8,72.0
1587395260,438,24.7,76.0
1587396276,438,24.7,79.0
1587397303,437,24.7,81.0
1587398348,436,24.7,82.0
1587399424,434,24.7,81.0
1587400438,434,24.8,85.0
1587401418,433,24.8,87.0
1587402398,433,24.8,90.0
1587403366,433,24.8,92.0
1587404351,430,24.7,91.0
1587405328,430,24.8,95.0
1587406309,430,24.8,95.0
1587407287,429,24.8,95.0
1587408257,428,24.8,95.0
1587409224,428,24.8,95.0
1587410190,427,24.8,95.0
1587411177,426,24.8,94.0
1587412262,426,24.8,94.0
1587413266,424,24.8,95.0
1587414292,423,24.9,93.0
1587415270,422,24.7,95.0
1587416277,422,24.8,95.0
1587417263,421,24.8,95.0
1587418248,417,24.8,95.0
1587419212,417,24.8,95.0
1587420212,416,24.8,95.0
1587421185,415,24.8,95.0
1587422140,415,24.8,95.0
1587423152,415,24.8,95.0
1587424105,414,24.8,95.0
1587425055,413,24.8,95.0
1587426080,413,24.8,95.0
1587427728,412,24.8,95.0
1587428699,412,24.8,95.0
1587429667,412,24.8,95.0
1587430663,411,24.8,95.0
1587431636,410,24.8,86.0
1587432657,409,24.8,95.0
1587433624,408,24.8,95.0
1587434596,408,24.8,95.0
1587435564,408,24.8,95.0
1587436545,406,24.8,95.0
1587437507,406,24.8,95.0
1587438472,406,24.8,95.0
1587439435,406,24.8,95.0
1587440402,405,24.8,95.0
1587441371,405,24.8,95.0
1587442359,405,24.8,95.0
1587443337,404,24.8,95.0
1587444304,404,24.8,95.0
1587445268,404,24.7,95.0
1587446240,403,24.7,95.0
1587447251,403,24.7,95.0
1587448242,403,24.7,95.0
1587449225,403,24.7,95.0
1587450206,402,24.7,95.0
1587451192,402,24.7,95.0
1587452231,402,24.6,94.0
1587453422,401,24.6,95.0
1587454406,401,24.8,95.0
1587455403,401,24.7,95.0
1587456395,399,24.8,95.0
1587457391,399,24.8,95.0
1587458405,399,24.8,95.0
1587459400,398,24.8,95.0
1587460548,397,24.8,95.0
1587461606,396,24.8,95.0
1587462641,396,24.8,95.0
1587463632,396,24.8,95.0
1587464680,396,24.8,95.0
1587465657,396,24.8,95.0
1587466648,394,24.8,95.0
1587467628,394,24.8,95.0
1587468628,394,24.8,95.0
1587469613,394,24.8,95.0
1587470586,394,24.8,95.0
1587471582,382,24.8,95.0
1587472599,382,24.7,95.0
1587473599,382,24.8,95.0
1587474721,384,24.7,79.0
1587475942,384,24.7,81.0
1587477148,384,24.7,95.0
1587478867,384,24.7,94.0
1587480291,382,24.8,95.0
1587481790,382,24.8,95.0
1587483052,382,24.8,95.0
1587484606,381,24.7,91.0
1587486109,382,24.8,95.0
1587487315,382,24.7,89.0
1587488583,381,24.7,95.0
1587490054,382,24.7,95.0
1587491279,382,24.4,92.0
1587492799,381,24.7,95.0
1587494245,381,24.7,84.0
1587495729,379,24.8,95.0
1587497204,379,24.8,94.0
1587498648,378,24.8,94.0
1587499961,378,24.8,95.0
1587501172,378,24.9,95.0
1587502155,378,24.9,95.0
1587503215,378,24.9,95.0
1587504225,377,24.8,95.0
1587505214,377,24.8,95.0
1587506198,377,24.9,95.0
1587507184,377,24.9,95.0
1587508191,375,25.0,95.0
1587509315,375,25.0,95.0
1587510278,375,25.0,95.0
1587511241,375,24.9,95.0
1587512192,375,24.8,95.0
1587513148,375,24.9,95.0
1587514127,375,24.6,95.0
1587541547,374,24.5,95.0
1587542533,374,24.7,93.0
1587543543,374,24.7,94.0
1587544584,375,24.7,89.0
1587545585,374,24.7,82.0
1587546605,374,24.7,76.0
1587547585,375,24.7,81.0
1587548576,375,24.7,82.0
1587549580,375,24.1,83.0
1587550558,375,24.0,85.0
1587551544,375,24.0,85.0
1587552509,373,24.1,85.0
1587553477,376,24.2,88.0
1587554441,375,24.5,91.0
1587555412,375,24.6,92.0
1587556394,375,24.6,90.0
1587557387,375,24.7,89.0
1587558397,375,24.7,91.0
1587559425,375,24.7,91.0
1587560442,375,24.7,95.0
1587561436,374,24.7,95.0
1587562452,375,24.8,95.0
1587563466,374,24.7,90.0
1587564481,374,24.7,94.0
1587565494,374,24.7,95.0
1587566502,374,24.7,95.0
