time	soil_moisture	temperature	air_humidity
1583224172749	949.0	23.0	34.0
1583224893512	865.0	23.0	34.0
1583225614279	867.0	23.0	34.0
1583226335057	930.0	23.0	36.0
1583227055822	952.0	23.0	34.0
1583227776597	953.0	23.0	34.0
1583228497376	975.0	23.0	34.0
1583229218143	975.0	23.0	34.0
1583229938903	974.0	23.0	34.0
1583230659683	976.0	23.0	34.0
1583231380454	976.0	23.0	34.0
1583232101240	975.0	23.0	34.0
1583232821996	974.0	23.0	34.0
1583233542761	973.0	23.0	34.0
1583234263532	975.0	23.0	35.0
1583234984297	974.0	23.0	34.0
1583235705058	975.0	23.0	37.0
1583236425825	975.0	23.0	34.0
1583237146599	975.0	23.0	34.0
1583237867383	974.0	23.0	34.0
1583238588141	975.0	23.0	34.0
1583239308908	977.0	25.0	35.0
1583240029683	978.0	23.0	34.0
1583240750461	976.0	23.0	34.0
1583241471227	976.0	23.0	34.0
1583242191993	976.0	26.0	36.0
1583242912770	980.0	23.0	34.0
1583243633541	980.0	23.0	34.0
1583244354322	975.0	23.0	34.0
1583245075084	980.0	23.0	34.0
1583245795856	979.0	23.0	34.0
1583246516626	976.0	23.0	34.0
1583247237402	976.0	25.0	38.0
1583247958172	986.0	23.0	34.0
1583248678952	976.0	23.0	34.0
1583249399725	975.0	23.0	34.0
1583250120507	980.0	23.0	34.0
1583250841279	976.0	23.0	34.0
1583251562060	976.0	23.0	34.0
1583252282836	976.0	23.0	34.0
1583253003609	978.0	23.0	34.0
1583253724382	975.0	23.0	34.0
1583254445157	976.0	23.0	34.0
1583255165923	977.0	23.0	34.0
1583255886697	978.0	23.0	34.0
1583256607471	976.0	23.0	34.0
1583257328259	978.0	23.0	34.0
1583258049027	977.0	23.0	34.0
1583258769796	981.0	23.0	34.0
1583259490561	977.0	23.0	34.0
1583260211333	979.0	23.0	34.0
1583260932091	976.0	23.0	34.0
1583261652865	978.0	23.0	34.0
1583262373610	981.0	23.0	34.0
1583263094350	976.0	23.0	34.0
1583263815090	979.0	23.0	34.0
1583264535836	979.0	23.0	34.0
1583265256575	978.0	23.0	34.0
1583265977332	979.0	23.0	39.0
1583266698105	980.0	23.0	34.0
1583267418878	976.0	23.0	34.0
1583268139650	975.0	23.0	34.0
1583268860423	976.0	23.0	34.0
1583269581184	976.0	23.0	34.0
1583270301963	975.0	23.0	34.0
1583271022739	976.0	23.0	34.0
1583271743511	976.0	23.0	34.0
1583272464294	976.0	23.0	34.0
1583273185072	976.0	23.0	34.0
1583273905854	975.0	23.0	34.0
1583274626613	975.0	23.0	34.0
1583275347385	975.0	23.0	34.0
1583276068155	975.0	23.0	34.0
1583276788913	976.0	23.0	34.0
1583277509679	977.0	23.0	34.0
1583278230454	976.0	23.0	34.0
1583278951224	975.0	23.0	34.0
1583279672002	976.0	23.0	34.0
1583280392778	976.0	23.0	34.0
1583281113547	975.0	23.0	34.0
1583281834320	975.0	23.0	36.0
1583282555096	980.0	23.0	34.0
1583283275865	976.0	23.0	34.0
1583283996636	976.0	23.0	34.0
1583284717409	976.0	23.0	34.0
1583285438180	976.0	23.0	34.0
1583286158945	975.0	23.0	34.0
1583286879732	975.0	23.0	34.0
1583287600505	976.0	23.0	34.0
1583288321274	976.0	23.0	34.0
1583289042044	975.0	23.0	34.0
1583289762823	976.0	23.0	34.0
1583290483594	975.0	23.0	34.0
1583291204367	976.0	23.0	34.0
1583291925139	975.0	23.0	34.0
1583292645909	975.0	23.0	34.0
1583293366740	976.0	23.0	34.0
1583294087510	975.0	23.0	34.0
1583294808282	975.0	23.0	34.0
1583295529059	975.0	23.0	34.0
1583296249818	976.0	23.0	34.0
1583296970579	976.0	23.0	34.0
1583297691348	975.0	23.0	34.0
1583298412131	975.0	23.0	34.0
1583299132917	975.0	23.0	34.0
1583299853697	975.0	23.0	34.0
1583300574461	975.0	24.0	34.0
1583301295233	975.0	23.0	34.0
1583302015999	976.0	24.0	41.0
1583302736773	976.0	24.0	34.0
1583303457560	975.0	24.0	34.0
1583304178327	975.0	23.0	34.0
1583304899093	976.0	24.0	34.0
1583305619856	975.0	24.0	34.0
1583306340633	975.0	24.0	34.0
1583307061404	975.0	24.0	37.0
1583307782169	975.0	24.0	34.0
1583308502934	1004.0	24.0	37.0
1583309223709	1004.0	24.0	34.0
1583309944478	1003.0	24.0	34.0
1583310665264	999.0	24.0	37.0
1583311386026	1004.0	24.0	34.0
1583312106790	1004.0	24.0	34.0
1583312827559	1004.0	24.0	34.0
1583313548327	1004.0	24.0	34.0
1583314269089	1002.0	24.0	37.0
1583314989861	1002.0	24.0	34.0
1583315710620	1002.0	24.0	34.0
1583316431391	934.0	24.0	34.0
1583317152170	951.0	24.0	34.0
1583317872947	933.0	24.0	34.0
1583318593705	915.0	24.0	34.0
1583319314468	944.0	24.0	34.0
1583320035251	944.0	26.0	38.0
