time	soil_moisture	temperature	air_humidity
1583320387268	960.0	24.0	34.0
1583321108033	961.0	24.0	34.0
1583321828791	951.0	24.0	36.0
1583322549581	997.0	22.0	34.0
1583323270369	997.0	24.0	34.0
1583323991154	991.0	23.0	34.0
1583324711949	992.0	23.0	34.0
1583325432735	991.0	26.0	36.0
1583326153516	992.0	24.0	34.0
1583326874290	993.0	24.0	34.0
1583327595075	993.0	24.0	34.0
1583328315864	991.0	24.0	34.0
1583329036661	994.0	24.0	34.0
1583329757432	993.0	24.0	34.0
1583330478211	993.0	24.0	34.0
1583331198995	993.0	24.0	34.0
1583331919771	993.0	24.0	37.0
1583332640557	994.0	24.0	34.0
1583333361350	993.0	24.0	34.0
1583334082144	997.0	24.0	34.0
1583334802933	997.0	24.0	34.0
1583335523721	997.0	24.0	34.0
1583336244500	998.0	24.0	34.0
1583336965303	998.0	24.0	34.0
1583337686085	997.0	24.0	34.0
1583338406840	998.0	24.0	34.0
1583339127595	997.0	24.0	34.0
1583339848379	997.0	24.0	34.0
1583340569162	998.0	24.0	34.0
1583341289940	997.0	24.0	34.0
1583342010724	998.0	24.0	34.0
1583342731503	997.0	24.0	34.0
1583343452285	998.0	24.0	34.0
1583344173083	998.0	24.0	34.0
1583344893863	998.0	24.0	34.0
1583345614647	997.0	24.0	34.0
1583346335437	998.0	24.0	34.0
1583347056220	998.0	24.0	34.0
1583347776993	1002.0	24.0	34.0
1583348497771	1003.0	24.0	34.0
1583349218557	1002.0	24.0	34.0
1583349939338	1004.0	24.0	34.0
1583350660121	1001.0	24.0	34.0
1583351380913	1001.0	24.0	34.0
1583352101707	1004.0	24.0	34.0
1583352822495	1003.0	23.0	34.0
1583353543275	1001.0	23.0	34.0
1583354264057	1002.0	24.0	34.0
1583354984839	1001.0	23.0	34.0
1583355705631	1002.0	23.0	34.0
1583356426406	1003.0	23.0	34.0
1583357147194	1003.0	23.0	34.0
1583357867979	1001.0	23.0	34.0
1583358588758	1003.0	23.0	34.0
1583359309550	1002.0	23.0	34.0
1583360030330	1002.0	23.0	34.0
1583360751109	1003.0	23.0	34.0
1583361471906	1002.0	23.0	34.0
1583362192685	1001.0	23.0	34.0
1583362913483	1001.0	23.0	34.0
1583363634269	1003.0	23.0	34.0
1583364355054	1003.0	23.0	34.0
1583365075851	1002.0	23.0	34.0
1583365796637	1003.0	23.0	34.0
1583366517417	1001.0	23.0	34.0
1583367238200	1002.0	23.0	34.0
1583367958992	1003.0	23.0	34.0
1583368679785	1002.0	23.0	34.0
1583369400573	1003.0	23.0	34.0
1583370121360	1003.0	23.0	34.0
1583370842152	1002.0	23.0	34.0
1583371562939	1003.0	23.0	34.0
1583372283714	1001.0	23.0	34.0
1583373004509	1002.0	23.0	34.0
1583373725288	1003.0	23.0	34.0
1583374446080	1003.0	23.0	34.0
1583375166867	1001.0	23.0	34.0
1583375887630	1001.0	23.0	34.0
1583376608379	1002.0	23.0	34.0
1583377329167	1003.0	23.0	34.0
1583378049958	1001.0	23.0	34.0
1583378770741	1001.0	23.0	34.0
1583379491519	1002.0	23.0	34.0
1583380212295	1002.0	23.0	34.0
1583380933081	1002.0	23.0	34.0
1583381653878	997.0	23.0	34.0
1583382374663	998.0	23.0	34.0
1583383095453	998.0	23.0	34.0
1583383816240	997.0	23.0	34.0
1583384537022	997.0	23.0	34.0
1583385257810	998.0	23.0	34.0
1583385978600	998.0	23.0	34.0
1583386699381	997.0	24.0	34.0
1583387420165	997.0	24.0	34.0
1583388140960	998.0	24.0	34.0
1583388861743	996.0	24.0	34.0
1583389582527	998.0	24.0	34.0
1583390303311	997.0	24.0	34.0
1583391024106	997.0	24.0	34.0
1583391744902	997.0	24.0	34.0
1583392465696	998.0	24.0	34.0
1583393186486	998.0	24.0	34.0
1583393907266	997.0	24.0	34.0
1583394628047	998.0	24.0	34.0
1583395348834	997.0	24.0	34.0
1583396069617	997.0	24.0	34.0
1583396790402	997.0	24.0	34.0
1583397511180	998.0	24.0	34.0
